Description	
Number of Runs	400
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	750
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
130	750	2	5	02/27/24 11:33:59 AM	
131	750	0	5	02/27/24 11:34:04 AM	
132	750	3	5	02/27/24 11:34:09 AM	
133	750	4	5	02/27/24 11:34:14 AM	
134	750	6	5	02/27/24 11:34:20 AM	
135	750	5	5	02/27/24 11:34:25 AM	
136	750	1	5	02/27/24 11:34:30 AM	
137	750	4	5	02/27/24 11:34:35 AM	
138	750	3	5	02/27/24 11:34:40 AM	
139	750	4	5	02/27/24 11:34:45 AM	
140	750	1	5	02/27/24 11:34:51 AM	
141	750	7	5	02/27/24 11:34:56 AM	
142	750	1	5	02/27/24 11:35:01 AM	
143	750	4	5	02/27/24 11:35:06 AM	
144	750	4	5	02/27/24 11:35:11 AM	
145	750	4	5	02/27/24 11:35:17 AM	
146	750	5	5	02/27/24 11:35:22 AM	
147	750	0	5	02/27/24 11:35:27 AM	
148	750	3	5	02/27/24 11:35:32 AM	
149	750	4	5	02/27/24 11:35:37 AM	
150	750	7	5	02/27/24 11:35:43 AM	
151	750	3	5	02/27/24 11:35:48 AM	
152	750	3	5	02/27/24 11:35:53 AM	
153	750	3	5	02/27/24 11:35:58 AM	
154	750	1	5	02/27/24 11:36:03 AM	
155	750	1	5	02/27/24 11:36:09 AM	
156	750	3	5	02/27/24 11:36:14 AM	
157	750	4	5	02/27/24 11:36:19 AM	
158	750	2	5	02/27/24 11:36:24 AM	
159	750	2	5	02/27/24 11:36:29 AM	
160	750	3	5	02/27/24 11:36:34 AM	
161	750	2	5	02/27/24 11:36:39 AM	
162	750	3	5	02/27/24 11:36:45 AM	
163	750	7	5	02/27/24 11:36:50 AM	
164	750	5	5	02/27/24 11:36:55 AM	
165	750	2	5	02/27/24 11:37:00 AM	
166	750	4	5	02/27/24 11:37:05 AM	
167	750	7	5	02/27/24 11:37:10 AM	
168	750	0	5	02/27/24 11:37:16 AM	
169	750	3	5	02/27/24 11:37:21 AM	
170	750	6	5	02/27/24 11:37:26 AM	
171	750	3	5	02/27/24 11:37:31 AM	
172	750	5	5	02/27/24 11:37:36 AM	
173	750	3	5	02/27/24 11:37:42 AM	
174	750	2	5	02/27/24 11:37:47 AM	
175	750	4	5	02/27/24 11:37:52 AM	
176	750	4	5	02/27/24 11:37:57 AM	
177	750	5	5	02/27/24 11:38:02 AM	
178	750	3	5	02/27/24 11:38:07 AM	
179	750	4	5	02/27/24 11:38:13 AM	
180	750	2	5	02/27/24 11:38:18 AM	
181	750	2	5	02/27/24 11:38:23 AM	
182	750	9	5	02/27/24 11:38:28 AM	
183	750	2	5	02/27/24 11:38:33 AM	
184	750	1	5	02/27/24 11:38:38 AM	
185	750	4	5	02/27/24 11:38:44 AM	
186	750	4	5	02/27/24 11:38:49 AM	
187	750	4	5	02/27/24 11:38:54 AM	
188	750	3	5	02/27/24 11:38:59 AM	
189	750	2	5	02/27/24 11:39:04 AM	
190	750	1	5	02/27/24 11:39:09 AM	
191	750	3	5	02/27/24 11:39:15 AM	
192	750	6	5	02/27/24 11:39:20 AM	
193	750	2	5	02/27/24 11:39:25 AM	
194	750	4	5	02/27/24 11:39:30 AM	
195	750	4	5	02/27/24 11:39:35 AM	
196	750	1	5	02/27/24 11:39:40 AM	
197	750	1	5	02/27/24 11:39:46 AM	
198	750	3	5	02/27/24 11:39:51 AM	
199	750	2	5	02/27/24 11:39:56 AM	
200	750	2	5	02/27/24 11:40:01 AM	
201	750	2	5	02/27/24 11:40:06 AM	
202	750	4	5	02/27/24 11:40:11 AM	
203	750	0	5	02/27/24 11:40:17 AM	
204	750	4	5	02/27/24 11:40:22 AM	
205	750	3	5	02/27/24 11:40:27 AM	
206	750	3	5	02/27/24 11:40:32 AM	
207	750	2	5	02/27/24 11:40:37 AM	
208	750	2	5	02/27/24 11:40:42 AM	
209	750	2	5	02/27/24 11:40:48 AM	
210	750	3	5	02/27/24 11:40:53 AM	
211	750	2	5	02/27/24 11:40:58 AM	
212	750	4	5	02/27/24 11:41:03 AM	
213	750	4	5	02/27/24 11:41:08 AM	
214	750	4	5	02/27/24 11:41:13 AM	
215	750	3	5	02/27/24 11:41:19 AM	
216	750	2	5	02/27/24 11:41:24 AM	
217	750	3	5	02/27/24 11:41:29 AM	
218	750	3	5	02/27/24 11:41:34 AM	
219	750	7	5	02/27/24 11:41:39 AM	
220	750	7	5	02/27/24 11:41:44 AM	
221	750	2	5	02/27/24 11:41:50 AM	
222	750	5	5	02/27/24 11:41:55 AM	
223	750	3	5	02/27/24 11:42:00 AM	
224	750	3	5	02/27/24 11:42:05 AM	
225	750	4	5	02/27/24 11:42:10 AM	
226	750	2	5	02/27/24 11:42:15 AM	
227	750	1	5	02/27/24 11:42:21 AM	
228	750	5	5	02/27/24 11:42:26 AM	
229	750	4	5	02/27/24 11:42:31 AM	
230	750	2	5	02/27/24 11:42:36 AM	
231	750	3	5	02/27/24 11:42:41 AM	
232	750	4	5	02/27/24 11:42:46 AM	
233	750	4	5	02/27/24 11:42:51 AM	
234	750	8	5	02/27/24 11:42:57 AM	
235	750	2	5	02/27/24 11:43:02 AM	
236	750	8	5	02/27/24 11:43:07 AM	
237	750	1	5	02/27/24 11:43:12 AM	
238	750	4	5	02/27/24 11:43:17 AM	
239	750	2	5	02/27/24 11:43:23 AM	
240	750	3	5	02/27/24 11:43:28 AM	
241	750	0	5	02/27/24 11:43:33 AM	
242	750	4	5	02/27/24 11:43:38 AM	
243	750	5	5	02/27/24 11:43:43 AM	
244	750	6	5	02/27/24 11:43:48 AM	
245	750	3	5	02/27/24 11:43:54 AM	
246	750	2	5	02/27/24 11:43:59 AM	
247	750	3	5	02/27/24 11:44:04 AM	
248	750	3	5	02/27/24 11:44:09 AM	
249	750	1	5	02/27/24 11:44:14 AM	
250	750	5	5	02/27/24 11:44:20 AM	
251	750	2	5	02/27/24 11:44:25 AM	
252	750	1	5	02/27/24 11:44:30 AM	
253	750	1	5	02/27/24 11:44:35 AM	
254	750	2	5	02/27/24 11:44:40 AM	
255	750	5	5	02/27/24 11:44:45 AM	
256	750	3	5	02/27/24 11:44:51 AM	
257	750	2	5	02/27/24 11:44:56 AM	
258	750	0	5	02/27/24 11:45:01 AM	
259	750	4	5	02/27/24 11:45:06 AM	
260	750	1	5	02/27/24 11:45:11 AM	
261	750	2	5	02/27/24 11:45:16 AM	
262	750	0	5	02/27/24 11:45:22 AM	
263	750	5	5	02/27/24 11:45:27 AM	
264	750	1	5	02/27/24 11:45:32 AM	
265	750	4	5	02/27/24 11:45:37 AM	
266	750	4	5	02/27/24 11:45:42 AM	
267	750	4	5	02/27/24 11:45:47 AM	
268	750	5	5	02/27/24 11:45:53 AM	
269	750	2	5	02/27/24 11:45:58 AM	
270	750	7	5	02/27/24 11:46:03 AM	
271	750	5	5	02/27/24 11:46:08 AM	
272	750	5	5	02/27/24 11:46:13 AM	
273	750	3	5	02/27/24 11:46:18 AM	
274	750	3	5	02/27/24 11:46:24 AM	
275	750	6	5	02/27/24 11:46:29 AM	
276	750	5	5	02/27/24 11:46:34 AM	
277	750	4	5	02/27/24 11:46:39 AM	
278	750	3	5	02/27/24 11:46:44 AM	
279	750	3	5	02/27/24 11:46:50 AM	
280	750	5	5	02/27/24 11:46:55 AM	
281	750	4	5	02/27/24 11:47:00 AM	
282	750	7	5	02/27/24 11:47:05 AM	
283	750	6	5	02/27/24 11:47:10 AM	
284	750	3	5	02/27/24 11:47:16 AM	
285	750	2	5	02/27/24 11:47:21 AM	
286	750	6	5	02/27/24 11:47:26 AM	
287	750	4	5	02/27/24 11:47:31 AM	
288	750	3	5	02/27/24 11:47:36 AM	
289	750	1	5	02/27/24 11:47:42 AM	
290	750	1	5	02/27/24 11:47:47 AM	
291	750	3	5	02/27/24 11:47:52 AM	
292	750	4	5	02/27/24 11:47:57 AM	
293	750	0	5	02/27/24 11:48:02 AM	
294	750	3	5	02/27/24 11:48:08 AM	
295	750	1	5	02/27/24 11:48:13 AM	
296	750	3	5	02/27/24 11:48:18 AM	
297	750	1	5	02/27/24 11:48:23 AM	
298	750	1	5	02/27/24 11:48:28 AM	
299	750	1	5	02/27/24 11:48:34 AM	
300	750	2	5	02/27/24 11:48:39 AM	
301	750	3	5	02/27/24 11:48:44 AM	
302	750	3	5	02/27/24 11:48:49 AM	
303	750	3	5	02/27/24 11:48:54 AM	
304	750	2	5	02/27/24 11:49:00 AM	
305	750	4	5	02/27/24 11:49:05 AM	
306	750	7	5	02/27/24 11:49:10 AM	
307	750	1	5	02/27/24 11:49:15 AM	
308	750	5	5	02/27/24 11:49:20 AM	
309	750	4	5	02/27/24 11:49:26 AM	
310	750	3	5	02/27/24 11:49:31 AM	
311	750	2	5	02/27/24 11:49:36 AM	
312	750	2	5	02/27/24 11:49:41 AM	
313	750	3	5	02/27/24 11:49:46 AM	
314	750	2	5	02/27/24 11:49:51 AM	
315	750	3	5	02/27/24 11:49:56 AM	
316	750	5	5	02/27/24 11:50:02 AM	
317	750	2	5	02/27/24 11:50:07 AM	
318	750	4	5	02/27/24 11:50:12 AM	
319	750	3	5	02/27/24 11:50:17 AM	
320	750	4	5	02/27/24 11:50:22 AM	
321	750	2	5	02/27/24 11:50:27 AM	
322	750	2	5	02/27/24 11:50:33 AM	
