Description	
Number of Runs	400
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	750
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
130	750	187	5	02/27/24 12:46:21 PM	
131	750	187	5	02/27/24 12:46:26 PM	
132	750	184	5	02/27/24 12:46:31 PM	
133	750	187	5	02/27/24 12:46:37 PM	
134	750	184	5	02/27/24 12:46:42 PM	
135	750	212	5	02/27/24 12:46:47 PM	
136	750	185	5	02/27/24 12:46:52 PM	
137	750	190	5	02/27/24 12:46:57 PM	
138	750	187	5	02/27/24 12:47:03 PM	
139	750	195	5	02/27/24 12:47:08 PM	
140	750	203	5	02/27/24 12:47:13 PM	
141	750	193	5	02/27/24 12:47:18 PM	
142	750	200	5	02/27/24 12:47:23 PM	
143	750	193	5	02/27/24 12:47:28 PM	
144	750	189	5	02/27/24 12:47:33 PM	
145	750	215	5	02/27/24 12:47:39 PM	
146	750	192	5	02/27/24 12:47:44 PM	
147	750	170	5	02/27/24 12:47:49 PM	
148	750	191	5	02/27/24 12:47:54 PM	
149	750	166	5	02/27/24 12:47:59 PM	
150	750	203	5	02/27/24 12:48:04 PM	
151	750	213	5	02/27/24 12:48:10 PM	
152	750	191	5	02/27/24 12:48:15 PM	
153	750	191	5	02/27/24 12:48:20 PM	
154	750	201	5	02/27/24 12:48:25 PM	
155	750	198	5	02/27/24 12:48:30 PM	
156	750	171	5	02/27/24 12:48:35 PM	
157	750	198	5	02/27/24 12:48:41 PM	
158	750	199	5	02/27/24 12:48:46 PM	
159	750	190	5	02/27/24 12:48:51 PM	
160	750	168	5	02/27/24 12:48:56 PM	
161	750	186	5	02/27/24 12:49:01 PM	
162	750	193	5	02/27/24 12:49:06 PM	
163	750	215	5	02/27/24 12:49:12 PM	
164	750	173	5	02/27/24 12:49:17 PM	
165	750	167	5	02/27/24 12:49:22 PM	
166	750	191	5	02/27/24 12:49:27 PM	
167	750	202	5	02/27/24 12:49:32 PM	
168	750	185	5	02/27/24 12:49:37 PM	
169	750	190	5	02/27/24 12:49:43 PM	
170	750	164	5	02/27/24 12:49:48 PM	
171	750	199	5	02/27/24 12:49:53 PM	
172	750	204	5	02/27/24 12:49:58 PM	
173	750	193	5	02/27/24 12:50:03 PM	
174	750	204	5	02/27/24 12:50:08 PM	
175	750	173	5	02/27/24 12:50:13 PM	
176	750	191	5	02/27/24 12:50:19 PM	
177	750	194	5	02/27/24 12:50:24 PM	
178	750	206	5	02/27/24 12:50:29 PM	
179	750	190	5	02/27/24 12:50:34 PM	
180	750	181	5	02/27/24 12:50:39 PM	
181	750	187	5	02/27/24 12:50:45 PM	
182	750	186	5	02/27/24 12:50:50 PM	
183	750	188	5	02/27/24 12:50:55 PM	
184	750	174	5	02/27/24 12:51:00 PM	
185	750	189	5	02/27/24 12:51:05 PM	
186	750	193	5	02/27/24 12:51:10 PM	
187	750	189	5	02/27/24 12:51:16 PM	
188	750	198	5	02/27/24 12:51:21 PM	
189	750	195	5	02/27/24 12:51:26 PM	
190	750	190	5	02/27/24 12:51:31 PM	
191	750	196	5	02/27/24 12:51:36 PM	
192	750	165	5	02/27/24 12:51:41 PM	
193	750	209	5	02/27/24 12:51:46 PM	
194	750	174	5	02/27/24 12:51:52 PM	
195	750	218	5	02/27/24 12:51:57 PM	
196	750	189	5	02/27/24 12:52:02 PM	
197	750	200	5	02/27/24 12:52:07 PM	
198	750	185	5	02/27/24 12:52:12 PM	
199	750	218	5	02/27/24 12:52:17 PM	
200	750	195	5	02/27/24 12:52:23 PM	
201	750	201	5	02/27/24 12:52:28 PM	
202	750	184	5	02/27/24 12:52:33 PM	
203	750	190	5	02/27/24 12:52:38 PM	
204	750	200	5	02/27/24 12:52:43 PM	
205	750	183	5	02/27/24 12:52:48 PM	
206	750	206	5	02/27/24 12:52:53 PM	
207	750	199	5	02/27/24 12:52:59 PM	
208	750	207	5	02/27/24 12:53:04 PM	
209	750	198	5	02/27/24 12:53:09 PM	
210	750	192	5	02/27/24 12:53:14 PM	
211	750	188	5	02/27/24 12:53:19 PM	
212	750	179	5	02/27/24 12:53:25 PM	
213	750	195	5	02/27/24 12:53:30 PM	
214	750	188	5	02/27/24 12:53:35 PM	
215	750	204	5	02/27/24 12:53:40 PM	
216	750	201	5	02/27/24 12:53:45 PM	
217	750	220	5	02/27/24 12:53:51 PM	
218	750	199	5	02/27/24 12:53:56 PM	
219	750	189	5	02/27/24 12:54:01 PM	
220	750	172	5	02/27/24 12:54:06 PM	
221	750	196	5	02/27/24 12:54:11 PM	
222	750	186	5	02/27/24 12:54:17 PM	
223	750	205	5	02/27/24 12:54:22 PM	
224	750	202	5	02/27/24 12:54:27 PM	
225	750	178	5	02/27/24 12:54:32 PM	
226	750	195	5	02/27/24 12:54:37 PM	
227	750	184	5	02/27/24 12:54:42 PM	
228	750	182	5	02/27/24 12:54:47 PM	
229	750	198	5	02/27/24 12:54:53 PM	
230	750	178	5	02/27/24 12:54:58 PM	
231	750	208	5	02/27/24 12:55:03 PM	
232	750	214	5	02/27/24 12:55:08 PM	
233	750	199	5	02/27/24 12:55:13 PM	
234	750	178	5	02/27/24 12:55:19 PM	
235	750	193	5	02/27/24 12:55:24 PM	
236	750	183	5	02/27/24 12:55:29 PM	
237	750	206	5	02/27/24 12:55:34 PM	
238	750	172	5	02/27/24 12:55:39 PM	
239	750	217	5	02/27/24 12:55:44 PM	
240	750	187	5	02/27/24 12:55:50 PM	
241	750	202	5	02/27/24 12:55:55 PM	
242	750	169	5	02/27/24 12:56:00 PM	
243	750	167	5	02/27/24 12:56:05 PM	
244	750	199	5	02/27/24 12:56:10 PM	
245	750	211	5	02/27/24 12:56:15 PM	
246	750	208	5	02/27/24 12:56:21 PM	
247	750	199	5	02/27/24 12:56:26 PM	
248	750	202	5	02/27/24 12:56:31 PM	
249	750	172	5	02/27/24 12:56:36 PM	
250	750	195	5	02/27/24 12:56:41 PM	
251	750	198	5	02/27/24 12:56:46 PM	
252	750	180	5	02/27/24 12:56:52 PM	
253	750	177	5	02/27/24 12:56:57 PM	
254	750	203	5	02/27/24 12:57:02 PM	
255	750	209	5	02/27/24 12:57:07 PM	
256	750	208	5	02/27/24 12:57:12 PM	
257	750	181	5	02/27/24 12:57:17 PM	
258	750	193	5	02/27/24 12:57:23 PM	
259	750	195	5	02/27/24 12:57:28 PM	
260	750	211	5	02/27/24 12:57:33 PM	
261	750	202	5	02/27/24 12:57:38 PM	
262	750	207	5	02/27/24 12:57:43 PM	
263	750	185	5	02/27/24 12:57:49 PM	
264	750	204	5	02/27/24 12:57:54 PM	
265	750	216	5	02/27/24 12:57:59 PM	
266	750	199	5	02/27/24 12:58:04 PM	
267	750	188	5	02/27/24 12:58:09 PM	
268	750	184	5	02/27/24 12:58:14 PM	
269	750	192	5	02/27/24 12:58:20 PM	
270	750	195	5	02/27/24 12:58:25 PM	
271	750	187	5	02/27/24 12:58:30 PM	
272	750	190	5	02/27/24 12:58:35 PM	
273	750	189	5	02/27/24 12:58:40 PM	
274	750	188	5	02/27/24 12:58:45 PM	
275	750	194	5	02/27/24 12:58:51 PM	
276	750	184	5	02/27/24 12:58:56 PM	
277	750	210	5	02/27/24 12:59:01 PM	
278	750	197	5	02/27/24 12:59:06 PM	
279	750	196	5	02/27/24 12:59:11 PM	
280	750	194	5	02/27/24 12:59:16 PM	
281	750	226	5	02/27/24 12:59:21 PM	
282	750	204	5	02/27/24 12:59:27 PM	
283	750	211	5	02/27/24 12:59:32 PM	
284	750	178	5	02/27/24 12:59:37 PM	
285	750	187	5	02/27/24 12:59:42 PM	
286	750	191	5	02/27/24 12:59:47 PM	
287	750	187	5	02/27/24 12:59:52 PM	
288	750	197	5	02/27/24 12:59:58 PM	
289	750	181	5	02/27/24 01:00:03 PM	
290	750	186	5	02/27/24 01:00:08 PM	
291	750	187	5	02/27/24 01:00:13 PM	
292	750	183	5	02/27/24 01:00:18 PM	
293	750	180	5	02/27/24 01:00:23 PM	
294	750	188	5	02/27/24 01:00:29 PM	
295	750	173	5	02/27/24 01:00:34 PM	
296	750	181	5	02/27/24 01:00:39 PM	
297	750	200	5	02/27/24 01:00:44 PM	
298	750	206	5	02/27/24 01:00:49 PM	
299	750	214	5	02/27/24 01:00:54 PM	
300	750	219	5	02/27/24 01:00:59 PM	
301	750	190	5	02/27/24 01:01:05 PM	
302	750	217	5	02/27/24 01:01:10 PM	
303	750	203	5	02/27/24 01:01:15 PM	
304	750	209	5	02/27/24 01:01:20 PM	
305	750	180	5	02/27/24 01:01:25 PM	
306	750	198	5	02/27/24 01:01:30 PM	
307	750	192	5	02/27/24 01:01:36 PM	
308	750	216	5	02/27/24 01:01:41 PM	
309	750	219	5	02/27/24 01:01:46 PM	
310	750	202	5	02/27/24 01:01:51 PM	
311	750	212	5	02/27/24 01:01:56 PM	
312	750	210	5	02/27/24 01:02:01 PM	
313	750	195	5	02/27/24 01:02:07 PM	
314	750	174	5	02/27/24 01:02:12 PM	
315	750	181	5	02/27/24 01:02:17 PM	
316	750	181	5	02/27/24 01:02:22 PM	
317	750	189	5	02/27/24 01:02:27 PM	
318	750	188	5	02/27/24 01:02:32 PM	
319	750	204	5	02/27/24 01:02:37 PM	
320	750	190	5	02/27/24 01:02:43 PM	
321	750	170	5	02/27/24 01:02:48 PM	
322	750	196	5	02/27/24 01:02:53 PM	
323	750	187	5	02/27/24 01:02:58 PM	
324	750	222	5	02/27/24 01:03:03 PM	
325	750	184	5	02/27/24 01:03:08 PM	
326	750	175	5	02/27/24 01:03:14 PM	
327	750	204	5	02/27/24 01:03:19 PM	
328	750	208	5	02/27/24 01:03:24 PM	
329	750	198	5	02/27/24 01:03:29 PM	
330	750	194	5	02/27/24 01:03:34 PM	
331	750	230	5	02/27/24 01:03:39 PM	
332	750	211	5	02/27/24 01:03:44 PM	
333	750	184	5	02/27/24 01:03:50 PM	
334	750	183	5	02/27/24 01:03:55 PM	
335	750	188	5	02/27/24 01:04:00 PM	
